robots,crates,solved,timed_out,planning_seconds,actions,makespan_s,action_time_s,drive_time_s,peak_concurrency,min_robot_busy_s,max_robot_busy_s
1,2,1,0,0.012093,17,276.71,276.7,244.7,1,276.7,276.7
2,2,1,0,0.079302,31,286.312,509.1,477.1,2,240.2,268.9
3,2,1,0,0.0776673,21,154.305,364.7,332.7,3,81.1,154.3
4,2,1,0,0.12783,16,112.904,261.3,229.3,3,0,112.9
5,2,1,0,0.188907,20,147.505,298.1,266.1,4,0,147.5
6,2,1,0,0.810377,28,160.606,459.3,427.3,5,0,135.7
1,3,1,0,0.0216815,26,420.015,420,372,2,420,420
2,3,1,0,0.0500168,28,290.71,476.6,428.6,2,185.9,290.7
3,3,1,0,0.167958,27,203.807,409.6,361.6,3,101,181.6
4,3,1,0,0.173191,26,173.206,366.9,318.9,4,0,157.2
5,3,1,0,1.13091,39,173.206,563.3,515.3,5,95.9,146.9
6,3,1,0,4.7075,49,271.912,741.1,693.1,5,27.3,251.3
1,4,1,0,0.0330014,38,607.623,607.6,543.6,1,607.6,607.6
2,4,1,0,0.330844,44,411.218,719.8,655.8,3,317.4,402.4
3,4,1,0,1.14536,60,440.918,1019.5,955.5,4,254.3,440.9
4,4,1,0,1.71993,54,329.317,855.3,791.3,4,54.6,329.3
5,4,1,0,13.2764,78,421.92,1313.2,1249.2,5,103.3,411.1
6,4,1,0,21.3314,78,383.217,1324.6,1260.6,6,32.2,383.2
1,6,1,0,0.053815,65,1087.94,1087.9,991.9,2,1087.9,1087.9
2,6,1,0,1.0108,75,736.828,1288.2,1192.2,3,593.6,694.6
3,6,1,0,9.11359,81,637.027,1302.6,1206.6,3,140.3,637
4,6,1,0,17.2401,96,544.227,1566.6,1470.6,4,109.3,516.9
5,6,0,1,180.89,0,0,0,0,0,0,0
6,6,1,0,66.9703,108,531.725,1824.8,1728.8,6,128.1,416.8
1,8,1,0,0.781686,79,1319.95,1319.9,1191.9,2,1319.9,1319.9
2,8,1,0,2.54135,101,907.437,1698.7,1570.7,3,803.7,895
3,8,1,0,15.1834,118,907.64,1954.7,1826.7,3,486.5,805
4,8,1,0,38.482,126,769.133,2124.5,1996.5,4,197.2,733.7
